data_log;ano_mes;indice;indice_var
01/01/2024;2024-01;1091,25;2,94
01/02/2024;2024-02;1092,685;1,43
01/03/2024;2024-03;1095,738;3,05
01/04/2024;2024-04;1101,389;5,65
01/05/2024;2024-05;1110,887;9,5
01/06/2024;2024-06;1118,827;7,94
01/07/2024;2024-07;1126,916;8,09
01/08/2024;2024-08;1134,775;7,86
01/09/2024;2024-09;1141,398;6,62
01/10/2024;2024-10;1149,17;7,77
01/11/2024;2024-11;1153,725;4,55
01/12/2024;2024-12;1159,536;5,81
01/01/2025;2025-01;1169,116;9,58
01/02/2025;2025-02;1173,775;4,66
01/03/2025;2025-03;1178,386;4,61
01/04/2025;2025-04;1184,462;6,08
01/05/2025;2025-05;1191,327;6,87
01/06/2025;2025-06;1199,509;8,18
01/07/2025;2025-07;1210,471;10,96
01/08/2025;2025-08;1216,706;6,23
01/09/2025;2025-09;1218,747;2,04
01/10/2025;2025-10;1222,356;3,61
01/11/2025;2025-11;1225,633;3,28
01/12/2025;2025-12;1228,161;2,53
01/01/2026;2026-01;1228,161;
