item_id;item_nome;valor_plan;incc_id;incc_plan;grupo;classe
00.000.001.001;SERVIÇOS TÉCNICOS - MÃO DE OBRA/EMPREITADA;315700;1153,725;273,635;SERVIÇOS TÉCNICOS;MÃO DE OBRA/EMPREITADA
00.000.002.001;GASTOS GERAIS - MÃO DE OBRA/EMPREITADA;81800;1153,725;70,901;GASTOS GERAIS;MÃO DE OBRA/EMPREITADA
00.000.002.002;GASTOS GERAIS - MATERIAL;24768;1153,725;21,468;GASTOS GERAIS;MATERIAL
00.000.003.001;EQUIPE PERMANENTE - MÃO DE OBRA/EMPREITADA;1385570,64;1153,725;1200,954;EQUIPE PERMANENTE;MÃO DE OBRA/EMPREITADA
00.000.003.002;EQUIPE PERMANENTE - MATERIAL;937224,7;1153,725;812,347;EQUIPE PERMANENTE;MATERIAL
00.000.004.001;CONSUMOS PERMANENTES - MATERIAL;174081,04;1153,725;150,886;CONSUMOS PERMANENTES;MATERIAL
00.000.004.002;CONSULTORIAS - MÃO DE OBRA/EMPREITADA;75499,88;1153,725;65,44;CONSULTORIAS;MÃO DE OBRA/EMPREITADA
00.000.005.001;IMPLANTAÇÃO DE CANTEIRO - MÃO DE OBRA/EMPREITADA;80582,98;1153,725;69,846;IMPLANTAÇÃO DE CANTEIRO;MÃO DE OBRA/EMPREITADA
00.000.005.002;IMPLANTAÇÃO DE CANTEIRO - EQUIPAMENTOS;44137,5;1153,725;38,257;IMPLANTAÇÃO DE CANTEIRO;EQUIPAMENTOS
00.000.005.003;IMPLANTAÇÃO DE CANTEIRO - MATERIAL;77096,49;1153,725;66,824;IMPLANTAÇÃO DE CANTEIRO;MATERIAL
00.000.006.001;EQUIPAMENTOS E SEGURANÇA - MÃO DE OBRA/EMPREITADA;97585,31;1153,725;84,583;EQUIPAMENTOS E SEGURANÇA;MÃO DE OBRA/EMPREITADA
00.000.006.002;EQUIPAMENTOS E SEGURANÇA - EQUIPAMENTO;97951,8;1153,725;84,9;EQUIPAMENTOS E SEGURANÇA;EQUIPAMENTO
00.000.006.003;EQUIPAMENTOS E SEGURANÇA - MATERIAL;281486,78;1153,725;243,981;EQUIPAMENTOS E SEGURANÇA;MATERIAL
00.000.007.001;MAQUINAS - EQUIPAMENTOS;394923,95;1153,725;342,303;MAQUINAS;EQUIPAMENTOS
00.000.007.002;EQUIPAMENTOS PARA A OBRA - EQUIPAMENTO;24000;1153,725;20,802;EQUIPAMENTOS PARA A OBRA;EQUIPAMENTO
00.000.007.003;EQUIPAMENTOS PARA A OBRA - MATERIAL;48128,84;1153,725;41,716;EQUIPAMENTOS PARA A OBRA;MATERIAL
00.000.007.004;FERRAMENTAS PARA A OBRA - MATERIAL;19905,53;1153,725;17,253;FERRAMENTAS PARA A OBRA;MATERIAL
00.000.007.005;ALUGUEL DE EQUIPAMENTOS DIVERSOS - MÃO DE OBRA/EMPREITADA;74967,2;1153,725;64,978;ALUGUEL DE EQUIPAMENTOS DIVERSOS;MÃO DE OBRA/EMPREITADA
00.000.007.006;ALUGUEL DE EQUIPAMENTOS DIVERSOS - EQUIPAMENTO;244296;1153,725;211,745;ALUGUEL DE EQUIPAMENTOS DIVERSOS;EQUIPAMENTO
00.000.008.001;ENSAIOS - MÃO DE OBRA/EMPREITADA;46897,8;1153,725;40,649;ENSAIOS;MÃO DE OBRA/EMPREITADA
00.000.009.001;TRANSPORTE - MÃO DE OBRA/EMPREITADA;11400;1153,725;9,881;TRANSPORTE;MÃO DE OBRA/EMPREITADA
00.000.010.001;DEMOLIÇÕES - MÃO DE OBRA/EMPREITADA;2662,86;1153,725;2,308;DEMOLIÇÕES;MÃO DE OBRA/EMPREITADA
00.000.011.001;LOCAÇÕES - MÃO DE OBRA/EMPREITADA;2309,37;1153,725;2,002;LOCAÇÕES;MÃO DE OBRA/EMPREITADA
00.000.011.002;LOCAÇÕES - MATERIAL;7610,79;1153,725;6,597;LOCAÇÕES;MATERIAL
