item_id;item_nome;valor_plan;incc_id;incc_plan;grupo;classe
00.000.001.001;SERVIÇOS TÉCNICOS - MÃO DE OBRA/EMPREITADA;15000;1228,16;12,21;SERVIÇOS TÉCNICOS;MÃO DE OBRA/EMPREITADA
00.000.002.001;GASTOS GERAIS - MATERIAIS;24837;1228,16;20,22;GASTOS GERAIS;MATERIAIS
00.000.002.002;GASTOS GERAIS - MÃO DE OBRA/EMPREITADA;81800;1228,16;66,6;GASTOS GERAIS;MÃO DE OBRA/EMPREITADA
00.000.003.001;EQUIPE PERMANETE - MÃO DE OBRA/EMPREITADA;2276049,13;1228,16;1853,22;EQUIPE PERMANETE;MÃO DE OBRA/EMPREITADA
00.000.003.002;EQUIPE PERMANENTE - EQUIPAMENTOS;49448;1228,16;40,26;EQUIPE PERMANENTE;EQUIPAMENTOS
00.000.004.001;MÓVEIS PARA CANTEIRO - MATERIAIS;25751,87;1228,16;20,97;MÓVEIS PARA CANTEIRO;MATERIAIS
00.000.004.002;CONSUMOS PERMANENTES - MÃO DE OBRA/EMPREITADA;148400;1228,16;120,83;CONSUMOS PERMANENTES;MÃO DE OBRA/EMPREITADA
00.000.004.003;CONSUMOS PERMANENTES - MATERIAIS;25648,56;1228,16;20,88;CONSUMOS PERMANENTES;MATERIAIS
00.000.004.004;CONSULTORIAS - MÃO DE OBRA/EMPREITADA;200099,88;1228,16;162,93;CONSULTORIAS;MÃO DE OBRA/EMPREITADA
00.000.005.001;IMPLANTAÇÃO DE CANTEIRO - MÃO DE OBRA/EMPREITADA;7025,51;1228,16;5,72;IMPLANTAÇÃO DE CANTEIRO;MÃO DE OBRA/EMPREITADA
00.000.005.002;IMPLANTAÇÃO DE CANTEIRO - MATERIAIS;64037,88;1228,16;52,14;IMPLANTAÇÃO DE CANTEIRO;MATERIAIS
00.000.006.001;EQUIPAMENTOS E SEGURANÇA - MÃO DE OBRA/EMPREITADA;266393,32;1228,16;216,9;EQUIPAMENTOS E SEGURANÇA;MÃO DE OBRA/EMPREITADA
00.000.006.002;EQUIPAMENTOS E SEGURANÇA - MATERIAIS;59294,73;1228,16;48,28;EQUIPAMENTOS E SEGURANÇA;MATERIAIS
00.000.006.003;EQUIPAMENTOS E SEGURANÇA - EQUIPAMENTOS;65273,08;1228,16;53,15;EQUIPAMENTOS E SEGURANÇA;EQUIPAMENTOS
00.000.007.001;MAQUINAS - EQUIPAMENTOS;375588,11;1228,16;305,81;MAQUINAS;EQUIPAMENTOS
00.000.007.002;EQUIPAMENTOS PARA A OBRA - EQUIPAMENTOS;60319,3;1228,16;49,11;EQUIPAMENTOS PARA A OBRA;EQUIPAMENTOS
00.000.007.003;FERRAMENTAS PARA A OBRA - EQUIPAMENTOS;19540,24;1228,16;15,91;FERRAMENTAS PARA A OBRA;EQUIPAMENTOS
00.000.007.004;ALUGUEL DE EQUIPAMENTOS DIVERSOS - EQUIPAMENTOS;286245,6;1228,16;233,07;ALUGUEL DE EQUIPAMENTOS DIVERSOS;EQUIPAMENTOS
00.000.008.001;ENSAIOS - MÃO DE OBRA/EMPREITADA;52500;1228,16;42,75;ENSAIOS;MÃO DE OBRA/EMPREITADA
00.000.009.001;TRANSPORTE - MÃO DE OBRA/EMPREITADA;11400;1228,16;9,28;TRANSPORTE;MÃO DE OBRA/EMPREITADA
00.000.010.001;DEMOLIÇÕES - MÃO DE OBRA/EMPREITADA;88850;1228,16;72,34;DEMOLIÇÕES;MÃO DE OBRA/EMPREITADA
00.000.011.001;LOCAÇÕES - MÃO DE OBRA/EMPREITADA;2150,25;1228,16;1,75;LOCAÇÕES;MÃO DE OBRA/EMPREITADA
00.000.011.002;LOCAÇÕES - MATERIAIS;38186,75;1228,16;31,09;LOCAÇÕES;MATERIAIS
00.000.012.001;CONTENÇÕES - MÃO DE OBRA/EMPREITADA;190445,03;1228,16;155,07;CONTENÇÕES;MÃO DE OBRA/EMPREITADA
00.000.012.002;CONTENÇÕES - MATERIAIS;145299,31;1228,16;118,31;CONTENÇÕES;MATERIAIS
00.000.013.001;MOVIMENTAÇÃO DE TERRA - MÃO DE OBRA/EMPREITADA;92014,97;1228,16;74,92;MOVIMENTAÇÃO DE TERRA;MÃO DE OBRA/EMPREITADA
00.000.014.001;FUNDAÇÕES - MÃO DE OBRA/EMPREITADA;353329,72;1228,16;287,69;FUNDAÇÕES;MÃO DE OBRA/EMPREITADA
00.000.014.002;FUNDAÇÕES - MATERIAIS;744726,77;1228,16;606,38;FUNDAÇÕES;MATERIAIS
00.000.015.001;ESTRUTURA - MÃO DE OBRA/EMPREITADA;2788471,24;1228,16;2270,44;ESTRUTURA;MÃO DE OBRA/EMPREITADA
00.000.015.002;ESTRUTURA - MATERIAIS;2824537,98;1228,16;2299,81;ESTRUTURA;MATERIAIS
00.000.016.001;PAREDES E VEDAÇÕES - MÃO DE OBRA/EMPREITADA;399696,1;1228,16;325,44;PAREDES E VEDAÇÕES;MÃO DE OBRA/EMPREITADA
00.000.016.002;PAREDES E VEDAÇÕES - MATERIAIS;697706,08;1228,16;568,09;PAREDES E VEDAÇÕES;MATERIAIS
00.000.017.001;PAVIMENTAÇÕES - MÃO DE OBRA/EMPREITADA;654577,96;1228,16;532,97;PAVIMENTAÇÕES;MÃO DE OBRA/EMPREITADA
00.000.017.002;PAVIMENTAÇÕES - MATERIAIS;1134814,15;1228,16;923,99;PAVIMENTAÇÕES;MATERIAIS
00.000.018.001;REVESTIMENTOS - MÃO DE OBRA/EMPREITADA;780382,44;1228,16;635,41;REVESTIMENTOS;MÃO DE OBRA/EMPREITADA
00.000.018.002;REVESTIMENTOS - MATERIAIS;893713,41;1228,16;727,68;REVESTIMENTOS;MATERIAIS
00.000.019.001;COMPLEMENTAÇÕES EM REVESTIMENTOS - MÃO DE OBRA/EMPREITADA;10826,07;1228,16;8,81;COMPLEMENTAÇÕES EM REVESTIMENTOS;MÃO DE OBRA/EMPREITADA
00.000.019.002;COMPLEMENTAÇÕES EM REVESTIMENTOS - MATERIAIS;52349,79;1228,16;42,62;COMPLEMENTAÇÕES EM REVESTIMENTOS;MATERIAIS
00.000.020.001;BANCADAS - MÃO DE OBRA/EMPREITADA;70001,56;1228,16;57;BANCADAS;MÃO DE OBRA/EMPREITADA
00.000.020.002;BANCADAS - MATERIAIS;188811,81;1228,16;153,74;BANCADAS;MATERIAIS
